_id;author_details;title;isbn;description;genre
20;Balestrini, Nanni|Moroni, Primo|Bianchi, Sergio|Berardi, Franco Bifo|Chiaromonte, Franca|Daghini, Giairo|Paolozzi, Letizia|Bermani, Cesare|Bolelli, Franco|Bologna, Sergio|Bonomi, Aldo|Caminiti, Lanfranco|Cartosio, Bruno|Castellano, Lucio|Colombo, Andrea|Eco, Umberto|Fachinelli, Elvio|Feltrinelli, Giangiacomo|Guevara, Che|Mancini, Sandro|Tse-tung, Mao|Martini, Lucia|Masi, Edoarda|Mattia, Giancarlo|Melandri, Lea|Milani, Lorenzo|Montaldi, Danilo|Negri, Antonio|Panzieri, Raniero|Pozzi, Paolo|Rossanda, Rossana|Scabia, Giuliano|Scalzone, Oreste|Sparagna, Vincenzo|Tommei, Franco|Valcarenghi, Andrea|Virno, Paolo|Balestrini, ;L'orda D'oro 1968-1977: La Grande Ondata Rivoluzionaria E Creativa, Politica Ed Esistenziale;9788807814624;"L'orda d'oro, pubblicato per la prima volta nel 1988, qui ampliato e aggiornato, è un formidabile ""strumento della memoria"". Balestrini e Moroni montano il materiale accumulato dalla ""grande ondata rivoluzionaria"" con serenità e rigore, aprendo fra la mole dei frammenti, dei documenti e degli interventi strade e percorsi accessibili a tutti i lettori, giovani e meno giovani. Sono dieci anni di storia italiana, un'emozionante ricapitolazione di idee, gesti, tensioni, una lunghissima ""primavera di intelligenze"".";Political Science / Political Process / Political Advocacy
21;Orwell, George|Orwell, George (trans Bruno Tasso).;Animal Farm;9780452284241;"Tired of their servitude to man, a group of farm animals revolt and establish their own society, only to be betrayed into worse servitude by their leaders, the pigs, whose slogan becomes: ""All animals are equal, but some animals are more equal than others."" This 1945 satire addresses the socialist/ communist philosophy of Stalin in the Soviet Union.";Fiction / Literary
22;Silone, Ignazio|?????, ????|Sahab?i, ? Mahdi.?|Monadadori, Arnoldo;La Scuola Dei Dittatori;9789649971162;Rare hard to find book. Milano 1979, secondo tranquilli. Cover shows some wear. Clean copy. Pages tan. Same day shipping, Customer satisfaction guaranteed. Poss. Farsi.;
23;Ballard, J.G.;La Civiltà Del Vento;;;
24;Ballard, J.G.|Pareschi, Monica|Ballard, James G.;Super-cannes;9788807817137;"In una Provenza sempre più tecnologica, i sogni idilliaci possono trasformarsi negli incubi peggiori. Eden-Olympia è un complesso residenziale in Costa Azzurra. Ospita i dirigenti delle più potenti multinazionali e vi lavorano quasi diecimila persone. Jane Sinclair giunge in questo paradiso per un incarico da pediatra, accompagnata dal marito Paul. Mentre Jane si dedica con impegno alla professione, Paul si fa prendere dal sospetto. Perché il predecessore di Jane ha ucciso a fucilate dieci persone? Perché di tanto in tanto qualcuno dei residenti sparisce e se ne perde ogni traccia? Perché il dottor Penrose, lo psichiatra, ripete che Eden-Olympia sia un ""laboratorio per il nuovo millennio"", dove tutto è possibile?";Fiction / General
25;Ballard, J.G.|Lagorio, Paolo|Ballard, James G.;Il Condominio;9788807817557;Un elegante condominio in una zona residenziale, costruito secondo le più avanzate tecnologie, è in grado di garantire l'isolamento ai suoi residenti ma si dimostrerà incapace di difenderli da loro stessi. Il grattacielo londinese di vetro e cemento, alto quaranta piani e con mille appartamenti, è il teatro della generale ricaduta nella barbarie di un'intera classe sociale emergente. Viene a mancare l'elettricità ed è la fine della civiltà, la metamorfosi da paradiso a inferno, la nascita di clan rivali, il via libera a istinti primordiali e violenza. Il condominio, con i piani inferiori destinati alle classi inferiori, e dove via via che si sale in altezza si sale anche di gerarchia sociale, si trasforma in un incubo.;Fiction / General
26;Ballard, J.G.|Bocchiola, Massimo|Ballard, James G.|Ballard, James Graham;L'isola Di Cemento;9788807819353;"Quasi un adattamento postmoderno di Robinson Crusoe, con echi anche della""Tempesta"" shakespeariana, ""L'isola di cemento"" narra del naufragio delprotagonista Robert Maitland su un'isola di fabbricazione umana. Maitland è unuomo ricco, vive una vita borghese con tanto di moglie, figlio e amante. Ma ungiorno, d'improvviso, dopo un tremendo incidente mentre è alla guida della suasplendida Jaguar, si ritrova imprigionato sullo spartitrafficodell'autostrada. Incapace di sfuggirne, deve trovare il modo di sopravviverelì, ai confini dell'universo umano in un ambiente alieno e al di là dellaciviltà, e tutto quel che ha per farlo è quanto gli è rimasto dell'autodistrutta. Ma, via via che la situazione precipita, Maitland si adegua allasua nuova condizione, scopre in sé una diversa consapevolezza e si convinceche la sua nuova esistenza potrebbe non essere peggiore della precedente. Vaavanti perciò nella scoperta dell'isola, con i suoi segreti e relitti delpassato, con i suoi abitanti. Nell'Isola di cemento si ritrova il temaricorrente nella poetica ballardiana dell'alienazione prodotta dallatecnologia e dalla contemporaneità, che può spingere a preferire lasopravvivenza in condizioni estreme pur di ritrovare una libertà perduta nellasocietà disumanizzata.";Fiction / General
27;Ballard, J.G.|Ballard, James G.;Il Mondo Sommerso;9788807818288;"Lo scienziato Robert Kerans fa parte di una squadra di ricercatori diretta dal colonnello Riggs che ha l’incarico di perlustrare quel che resta di intere città sommerse dalle acque in seguito a una catastrofe naturale di dimensioni straordinarie. Una sessantina di anni prima delle tempeste solari hanno causato un surriscaldamento globale che a sua volta ha prodotto lo scioglimento dei ghiacci polari e quindi un innalzamento delle acque a livello planetario. Ora, con temperature roventi, tropicali anche ai poli, e in mezzo a lagune malsane, ci si trova di fronte a metropoli irriconoscibili, precipitate come sono in un’atmosfera primordiale, e ai sopravvissuti di una civiltà scomparsa, psicopatici, malnutriti, contaminati dalle radiazioni. Kerans sa che le sue rilevazioni sulle nuove forme di vita sono a questo punto del tutto prive di senso. A cosa serviranno mai infatti quando il pianeta diverrà torrido e non ci sarà più il genere umano? Per chi sa di essere destinato all’estinzione non resta che immergersi nel caos di un mondo primitivo e selvaggio, sprofondando in un abisso primigenio.<br>“L’albero genealogico dell’umanità si stava sistematicamente potando da solo, risalendo apparentemente alle radici e sarebbe giunto un momento in cui un secondo Adamo e una seconda Eva si sarebbero ritrovati soli in un nuovo Eden<br><br>Assieme a ""Foresta di cristallo"", ""Terra bruciata"", ""Vento dal nulla"", ""Il mondo sommerso"" forma la quadrilogia catastrofista di Ballard, in cui i disastri naturali che hanno per protagonisti i quattro elementi - terra, fuoco, aria e acqua - prefigurano un mondo non poi tanto fantascientifico.";Fiction / Science Fiction / General
28;Jenkins, Henry|Susca, Vincenzo|Papacchioli, Maddalena|Sala, Virginio B.;Cultura Convergente;9788850326297;"Convergence Culture maps a new territory: where old and new media intersect, where grassroots and corporate media collide, where the power of the media producer and the power of the consumer interact in unpredictable ways.<br><br>Henry Jenkins, one of America's most respected media analysts, delves beneath the new media hype to uncover the important cultural transformations that are taking place as media converge. He takes us into the secret world of ""Survivor"" Spoilers, where avid internet users pool their knowledge to unearth the show's secrets before they are revealed on the air. He introduces us to young ""Harry Potter"" fans who are writing their own Hogwarts tales while executives at Warner Brothers struggle for control of their franchise. He shows us how ""The Matrix"" has pushed transmedia storytelling to new levels, creating a fictional world where consumers track down bits of the story across multiple media channels.Jenkins argues that struggles over convergence will redefine the face of American popular culture. Industry leaders see opportunities to direct content across many channels to increase revenue and broaden markets. At the same time, consumers envision a liberated public sphere, free of network controls, in a decentralized media environment. Sometimes corporate and grassroots efforts reinforce each other, creating closer, more rewarding relations between media producers and consumers. Sometimes these two forces are at war.<br><br>Jenkins provides a riveting introduction to the world where every story gets told and every brand gets sold across multiple media platforms. He explains the cultural shift that is occurring as consumers fight for control across disparate channels, changing the way we do business, elect our leaders, and educate our children.";Social Science / Media Studies
29;Borges, Jorge Luis|Lucentini, Franco|-, BORGES Jorge Luis;Finzioni 1935-1944;9788806583620;"L'opera è divisa in due parti. Temi ricorrenti sono: l'universo come serie di processi mentali o come biblioteca infinita; il destino dell'uomo dominato dal caso; le qualità umane contrapposte a quelle divine. In tutti i racconti domina una problematica filosofica sottesa ad un intreccio narrativo complesso. La letteratura come ""finzione"", come riflesso e chiave di lettura del mondo.";Literary Collections / General
30;Luxemburg, Rosa;Riforma Sociale O Rivoluzione?;9788880221425;Quando combatte contro il riformismo, come in questo saggio che rappresenta un passaggio fondamentale nella vicenda della socialdemocrazia tedesca, Rosa Luxemburg assume come punto di partenza e di arrivo il socialismo. Nel farlo afferma una concezione della rivoluzione intesa come rigenerazione morale e materiale dell'umanità, legata alle contraddizioni storiche della società borghese ma anche alla necessaria maturazione di coscienza dei suoi protagonisti.;Political Science / Political Ideologies / Communism, Post-Communism & Socialism
31;Borio, Guido;"Futuro Anteriore: Dai ""Quaderni Rossi"" Ai Movimenti Globali:  Ricchezze E Limiti Dell'operaismo Italiano";9788887423617;;
32;Machiavelli, Niccolò|Dotti, Ugo|Hegel, Georg Wilhelm Friedrich;Il Principe;9788807820298;Questa nuova edizione del 'Principe', arricchita da una corposa introduzione e da un ricco apparato di note, permette al lettore di approfondire la conoscenza del capolavoro di Machiavelli nonché uno dei massimi testi di teoria politica mai scritti. Ne vengono indagati la genesi e gli sviluppi, inquadrando l'opera tanto nel contesto storico e culturale, quanto nell'esperienza professionale e personale dell'autore. A partire dalle diverse interpretazioni e dagli studi fatti nel corso del tempo sul testo, Ugo Dotti offre così un utilissimo strumento di studio e di lettura.;Literary Collections / Essays
33;Reich, Wilhelm|Zamperini, Adriano|Wolf, Anneliese|Belfiore, Fulvio;Psicologia Di Massa Del Fascismo;9788806199869;<p>Con un saggio di Adriano Zamperini<br><br>Un contributo senza eguali alla comprensione di uno dei fenomeni cruciali della storia dell'umanità. Un libro che ha ispirato Fromm e Adorno, che è stato un vessillo del '68, e che i drammi dei genocidi piú recenti, in Ruanda e nei Balcani, rendono di impressionante attualità.</p>;Psychology / Social Psychology
34;Reich, Wilhelm;La Lotta Sessuale Dei Giovani;;;
35;Reich, Wilhelm;La Funzione Dell'orgasmo. Dalla Cura Delle Nevrosi Alla Rivoluzione Sessuale E Politica;9788856502008;Il nome di Wilhelm Reich è indissolubilmente legato ai temi della rivoluzione e della liberazione sessuale. Pilastro fondamentale del suo pensiero è la teoria dell'orgasmo: la sanità psichica dell'individuo dipende dall'equilibrio sessuale, dal pieno dispiegamento della potenza orgasmica. Secondo Reich lottare per la liberazione sessuale è anche la premessa indispensabile per una lotta politica consapevole. Da qui le implicazioni future del pensiero reichiano non solo in campo psicologico, ma anche sociale, implicazioni che hanno fatto dello psicoanalista austriaco una figura fondamentale del XX secolo e di questo libro un classico per la cultura e il costume del nostro tempo.;Psychology / Movements / Psychoanalysis
36;Buchanan, Mark|Serra, Laura;Nexus. Perché La Natura, La Società, L'economia, La Comunicazione Funzionano Allo Stesso Modo;9788804533337;"Basta una catena di sei persone al massimo per mettere in relazione un individuo qualsiasi sul pianeta con qualunque altro, si tratti del presidente degli Stati Uniti, di un gondoliere veneziano o di un attore cinematografico. Come è possibile? E, soprattutto, di quale utilità è tale fenomeno per capire il mondo che ci circonda? Negli ultimi anni sociologi, fisici, biologi hanno trovato moltissime (e fino a oggi sconosciute) correlazioni tra il funzionamento della società umana e altre realtà apparentemente distanti, quali la cellula, l'ecosistema globale, Internet, l'apparato neuronale, il sistema stradale o ferroviario di una nazione. Una nuova scienza, della ""delle reti"", sta decifrando la struttura organizzativa che è sottesa a tutti questi mondi.<br>Mark Buchanan illustra i risultati di questa teoria in grado di gettare luce sui più svariati problemi: dalle crisi economiche internazionali alla diffusione di terribili malattie virali; dagli effetti sull'intero ecosistema di piccoli danni ambientali ai meccaniscmi che regolano la diffusione di idee, credenze e opinioni.";Social Science / General
37;Buchanan, Mark;Ubiquità. Dai Terremoti Al Crollo Dei Mercati: La Nuova Legge Universale Dei Cambiamenti;9788804519799;"Cos'hanno in comune i terremoti, la diffusione degli incendi, l'estinzione delle specie, l'andamento della borsa, gli ingorghi del traffico, lo scoppio delle guerre, le tendenze della moda o la formazione delle valanghe? La risposta viene dagli sviluppi più recenti della fisica dei sistemi complessi e del non equilibrio: tutti questi sistemi, e molti altri, per quanto diversi, si organizzano spontaneamente in uno stato critico, cioè in una situazione di estrema instabilità al confine tra ordine e caos, e seguono un'unica legge universale ""ubiqua"".";Science / Physics / General
38;Gladwell, Malcolm|Spinato, Patrizia;Il Punto Critico: I Grandi Effetti Dei Piccoli Cambiamenti;9788817014304;"L'intuizione che Malcolm Gladwell sviluppa in questo libro è che i cambiamenti sociali obbediscono alle stesse leggi delle epidemie: allo stesso modo dei virus, un'idea, una moda, un comportamento, diffusi dal contagio del ""passaparola"", raggiungono una soglia oltre la quale ottengono un effetto a valanga, Questa soglia è il Punto Critico. Quando si supera il punto critico, la reazione a catena sembra sfuggire alle normali relazioni di causa ed effetto. Un piccolo cambiamento può innescare una vera rivoluzione. Con esempi e riflessioni tratti dalla psicologia e dalla sociologia, dalla storia, dall'economia e dalla nostra vita quotidiana Gladwell insegna a essere artefici di epidemie positive.";Social Science / Sociology / General
39;Johannes, Agnoli|Agnoli, Johannes;La Trasformazione Della Democrazia;;Collana Universale Economica. N. 587 - Milano - 1969 - in 16° - - pp.110 - Brossura editoriale illustrata;
40;Diamond, Jared|Civalleri, Luigi|Cavalli-Sforza, Luigi Luca|Cavalli-Sforza, Francesco;Armi, Acciaio E Malattie: Breve Storia Del Mondo Negli Ultimi Tredicimila Anni;9788806183547;"Perché gli europei hanno assoggettato gran parte degli altri popoli? Secondo Diamond le diversità culturali affondano le loro radici in diversità geografiche, ecologiche e territoriali sostanzialmente legate al caso. Armato di questa idea, l'autore può lanciarsi in un appassionante giro del mondo, alla ricerca di casi esemplari con i quali illustrare e mettere alla prova le sue teorie. Attingendo alla linguistica, all'archeologia, alla genetica molecolare e a mille altre fonti di conoscenza, Diamond riesce a condurre questo ""tour de force"" storico-culturale con sorprendente maestria, affiancando aneddoti personali a racconti drammatici o a spiegazioni di complesse teorie biologiche, che affronta con abilità di divulgatore.";Social Science / Anthropology / General
41;de Sade, Marquis|Paz, Octavio|de Sade, François;Justine O le Sventure Della Virtu?;9788817006132;"Specchio di virtù e di devozione religiosa, Justine racconta alla sorella Juliette, dopo una lunga separazione, le proprie disavventure. La narrazione si trasforma in un vertiginoso viaggio tra frati licenziosi, impenitenti falsari, losche mezzane, aristocratici viziosi: un percorso iniziatico attraverso l'esperienza del libertinaggio, che si snoda circolarmente in discorsi, classificazioni ed enumerazioni. Pubblicato anonimo nel 1791 e subito dichiarato fuorilegge, <em>Justine</em> fu sottratto all'oblio cui lo destinava '""inferno"" della Biblioteca Nazionale di Parigi negli anni Trenta e consegnato alla tradizione letteraria del Novecento. Da allora artisti, scrittori e filosofi hanno trovato in Sade un modello di stile e di pensiero, per la straordinaria novità dei congegni narrativi e per l'inedito trattamento del tema dell'utopia: un'utopia, come argomenta Octavio Paz nel brillante saggio introduttivo, che funziona al rovescio.";Fiction / Erotica
42;Bretonne, Nicolas Restif de la;L'anti-justine Ovvero le Delizie Dell'amore;9788887939767;"""...L'""Anti-Justine"" è la ricerca lirica delle ebbrezze condivise, una quête, un andare in cerca, più solare che sulfurea, di un tutto-è-permesso, al di fuori della sofferenza, al di fuori dell'umiliazione della schiavitù. [...] Concepita in origine come una sconvenienza con lo scopo di spaventare, in duecento anni l'opera ha assunto gli accenti di un benefico sollievo. L'immondo di ieri vale più del mondo di oggi. Squarcia con un dardo fiammeggiante il nostro spleen, i nostri grigiori, le nostre morte vocazioni, fino a torcere il collo alla logica. Bisognerebbe accoglierlo con l'esaltazione di chi lascia soffiare in se stesso la tempesta purificatrice."" (Dallo scritto di Marcel Moreau)";Fiction / Erotica
43;Dürrenmatt, Friedrich|Gandini, Umberto;Racconti;9788807813849;"Il volume raccoglie i racconti di Friedrich Durrenmatt scritti fra il 1942 e il 1985. Esemplare per la sua narrativa è ""La panne"", del 1956, dove la vicenda assume i toni cangianti del leggero, del comico, dell'angosciante, del tragico e coinvolge il lettore nello stesso modo in cui cattura il protagonista. Il tema dominante è il conflitto dell'individuo con un mondo mostruoso, come dice Durrenmatt, il quale tuttavia spazia anche in orizzonti più vasti. I primi esili schizzi preannunciano la qualità del suo lavoro futuro che si precisa in una serie di situazioni concrete dallo scacco esistenziale e, qualche caso, come in ""Guerra invernale nel Tibet"", si dilata dalla sfera della attualità a una avveniristica condizione umana. A Durrenmatt piace esplorare anche le zone del mito in ""Il ritratto di Sisifo"", ""La morte della Pizia"" o ""Il Minotauro"", dove la sorte del ferino figlio di Pasife si moltiplica a dismisura, sullo sfondo di un labirinto che, mentre sembra offrire mille possibilità di salvezza, della sua parete di vetro riproduce all'infinito l'illusorietà di ogni tentativo di fuga. Su un altro versante, in ""La caduta"", Durrenmatt costruisce la parabola che dall'alternanza politica porta alle degenerazioni più feroci nella lotta per il potere. Le aporie della civiltà sono messe in risalto, con un divertito anacronismo, in ""Notizie sullo stato dell'informazione nell'età della pietra"". Ma sarebbe limitativo circoscrivere il mondo di Durrenmatt a parametri ideologici o a schemi filosofici rigidi; il suo sguardo coglie incubi o dissonanze della vita con un forte senso dello humor e del grottesco, che redime le sue pagine da ogni intenzione moralistica, per abbandonarsi al libero gioco dell'invenzione e della fantasia. Senza mai rinunciare alle sue responsabilità di scrittore: ""Il solo modo per superare il conflitto è viverlo. L'arte, la letteratura, sono, come qualunque altra cosa, un confronto col mondo. Una volta afferrato questo, ne potremo intravedere anche il senso.""";Fiction / Short Stories (single author)
44;Coetzee, J.M.|Baiocchi, Maria|Coetzee, J. M.;Aspettando I Barbari;9788806154509;"Un percorso nell'animo umano raccontato attraverso l'indagine introspettiva di un magistrato di un impero non meglio definito, funzionario di una tranquilla cittadina di frontiera. La vita è scombussolata all'improvviso dall'arrivo degli ispettori militari dalla ""capitale"". In verità epoca e localizzazione geografica dei luoghi sono intuibili, forse, appena accennate da indizi vaghi ed indefiniti. Così come vaghi ed indiziari restano gli argomenti a sostegno di un’imminente invasione che il popolo barbaro starebbe preparando a danno dell'Impero, tanto che sproporzionata appare subito la controffensiva militare messa in moto. Sperequazione che Coetzee sembra volere ben evidente per introdurre la sensazione del ridicolo dove fonda subito dopo impietosamente il tragico.";Fiction / General
45;Lanzetta, Peppe;Tropico Di Napoli;9788807817533;"L'anima, il dolore, la sofferenza, i tormenti e gli odori, le folle e il caldo torrido di un luglio senza fine visto attraverso gli occhi e la pelle del ""cattivotenente"", filo conduttore di una storia composta da tante storie che in qualche modo si intrecciano, si toccano, si sovrappongono. I veri protagonisti del romanzo sono la crudezza di Napoli, il denaro, il sesso, l'usura: è tutto un circolare di assegni, assegni a vuoto, prestiti per riparare prestiti, tensione e angoscia. E le banche, gli scoperti, gli assegni postdatati, i milioni, le promesse, i salvatori che non ti salvano ma ti fanno restare ore con il fiato sospeso, senza richiamare mai, e quando lo fanno, le risposte rassicuranti sono in codice...";Fiction / General
46;Alberone, Comitato di quartiere;Quelli Dell'alberone. Analisi Di Un Percorso Sociale;9788845701535;;Social Science / Sociology / General
47;Sepúlveda, Luis|Carmignani, Ilide|Mulazzani, Simona;Storia Di Una Gabbianella E Del Gatto Che le Insegnò a Volare;9788877825124;"I gabbiani sorvolano la foce dell'Elba, nel mare del Nord. ""Banco di aringhe a sinistra"" stride il gabbiano di vedetta e Kengah si tuffa. Ma quando riemerge, il mare è una distesa di petrolio. A stento spicca il volo, raggiunge la terra ferma, ma poi stremata precipita su un balcone di Amburgo. C'è un micio nero di nome Zorba su quel balcone, un grosso gatto cui la gabbiana morente affida l'uovo che sta per deporre, non prima di aver ottenuto dal gatto solenni promesse: che lo coverà amorevolmente, che non si mangerà il piccolo e che, soprattutto, gli insegnerà a volare. E se per mantenere le prime due promesse sarà sufficiente l'amore materno di Zorba, per la terza ci vorrà una grande idea e l'aiuto di tutti...";Fiction / General
48;Bradbury, Ray;Il Popolo Dell'autunno;9788817132466;Il popolo dell'autunno;Fiction / Science Fiction / General
